month,chemical,total_items,total_cost
2010-08-01 00:00:00+00:00,Zopiclone,421868,647624.4900000001
2010-08-01 00:00:00+00:00,Zaleplon,248,1090.5499999999986
2010-09-01 00:00:00+00:00,Zopiclone,451915,689550.5499999995
2010-09-01 00:00:00+00:00,Zaleplon,228,1004.7299999999991
2010-10-01 00:00:00+00:00,Zopiclone,430882,552587.4800000001
2010-10-01 00:00:00+00:00,Zaleplon,142,615.2499999999997
2010-11-01 00:00:00+00:00,Zopiclone,444693,557698.3999999999
2010-11-01 00:00:00+00:00,Zaleplon,126,743.3599999999997
2010-12-01 00:00:00+00:00,Zopiclone,454737,576133.3799999993
2010-12-01 00:00:00+00:00,Zaleplon,105,547.35
2011-01-01 00:00:00+00:00,Zopiclone,446624,548947.4100000003
2011-01-01 00:00:00+00:00,Zaleplon,87,457.53999999999985
2011-02-01 00:00:00+00:00,Zaleplon,69,336.77000000000004
2011-02-01 00:00:00+00:00,Zopiclone,423255,514077.79
2011-03-01 00:00:00+00:00,Zaleplon,79,396.9399999999998
2011-03-01 00:00:00+00:00,Zopiclone,476081,590665.6899999995
2011-04-01 00:00:00+00:00,Zaleplon,57,294.05999999999995
2011-04-01 00:00:00+00:00,Zopiclone,417826,505568.26999999996
2011-05-01 00:00:00+00:00,Zopiclone,441404,536442.5099999999
2011-05-01 00:00:00+00:00,Zaleplon,62,320.1700000000002
2011-06-01 00:00:00+00:00,Zaleplon,54,240.55000000000004
2011-06-01 00:00:00+00:00,Zopiclone,455815,543758.9799999999
2011-07-01 00:00:00+00:00,Zopiclone,436498,625000.4100000004
2011-07-01 00:00:00+00:00,Zaleplon,41,224.01
2011-08-01 00:00:00+00:00,Zopiclone,455878,640560.5199999998
2011-08-01 00:00:00+00:00,Zaleplon,35,195.53000000000003
2011-09-01 00:00:00+00:00,Zaleplon,54,247.95000000000002
2011-09-01 00:00:00+00:00,Zopiclone,470399,659068.0699999995
2011-10-01 00:00:00+00:00,Zaleplon,38,198.10999999999999
2011-10-01 00:00:00+00:00,Zopiclone,445187,583659.4500000005
2011-11-01 00:00:00+00:00,Zaleplon,35,195.27999999999997
2011-11-01 00:00:00+00:00,Zopiclone,467843,593785.9199999998
2011-12-01 00:00:00+00:00,Zaleplon,36,149.35999999999999
2011-12-01 00:00:00+00:00,Zopiclone,473856,622855.0900000004
2012-01-01 00:00:00+00:00,Zopiclone,470224,642297.7399999999
2012-01-01 00:00:00+00:00,Zaleplon,39,178.26
2012-02-01 00:00:00+00:00,Zaleplon,26,96.98
2012-02-01 00:00:00+00:00,Zopiclone,447658,610772.6300000004
2012-03-01 00:00:00+00:00,Zaleplon,32,148.29999999999998
2012-03-01 00:00:00+00:00,Zopiclone,460979,622240.3899999998
2012-04-01 00:00:00+00:00,Zaleplon,36,170.47
2012-04-01 00:00:00+00:00,Zopiclone,424661,567059.2999999999
2012-05-01 00:00:00+00:00,Zopiclone,465915,618775.7000000002
2012-05-01 00:00:00+00:00,Zaleplon,29,134.81
2012-06-01 00:00:00+00:00,Zaleplon,120,587.59
2012-06-01 00:00:00+00:00,Zopiclone,423792,565114.6299999994
2012-07-01 00:00:00+00:00,Zopiclone,443583,665054.6500000003
2012-07-01 00:00:00+00:00,Zaleplon,168,720.5800000000002
2012-08-01 00:00:00+00:00,Zaleplon,162,699.1700000000001
2012-08-01 00:00:00+00:00,Zopiclone,460259,690740.14
2012-09-01 00:00:00+00:00,Zaleplon,186,845.1999999999997
2012-09-01 00:00:00+00:00,Zopiclone,434628,641760.1
2012-10-01 00:00:00+00:00,Zaleplon,201,884.1299999999998
2012-10-01 00:00:00+00:00,Zopiclone,466815,587656.1100000006
2012-11-01 00:00:00+00:00,Zaleplon,205,872.0400000000005
2012-11-01 00:00:00+00:00,Zopiclone,462529,579591.7599999998
2012-12-01 00:00:00+00:00,Zaleplon,200,881.7399999999998
2012-12-01 00:00:00+00:00,Zopiclone,448020,567151.9700000001
2013-01-01 00:00:00+00:00,Zopiclone,480024,576843.7999999998
2013-01-01 00:00:00+00:00,Zaleplon,248,1031.9900000000002
2013-02-01 00:00:00+00:00,Zopiclone,427477,509466.5500000001
2013-02-01 00:00:00+00:00,Zaleplon,209,879.9099999999996
2013-03-01 00:00:00+00:00,Zaleplon,236,1094.2
2013-03-01 00:00:00+00:00,Zopiclone,452364,540529.6900000002
2013-04-01 00:00:00+00:00,Zopiclone,456848,535493.0900000003
2013-04-01 00:00:00+00:00,Zaleplon,272,1110.4000000000008
2013-05-01 00:00:00+00:00,Zopiclone,466982,547758.35
2013-05-01 00:00:00+00:00,Zaleplon,274,1262.7
2013-06-01 00:00:00+00:00,Zaleplon,268,1118.0200000000004
2013-06-01 00:00:00+00:00,Zopiclone,429900,499654.0199999999
2013-07-01 00:00:00+00:00,Zopiclone,463060,539341.4500000002
2013-07-01 00:00:00+00:00,Zaleplon,298,1232.0400000000006
2013-08-01 00:00:00+00:00,Zopiclone,459768,534781.56
2013-08-01 00:00:00+00:00,Zaleplon,285,1113.49
2013-09-01 00:00:00+00:00,Zopiclone,450688,519126.0199999997
2013-09-01 00:00:00+00:00,Zaleplon,315,1458.3999999999999
2013-10-01 00:00:00+00:00,Zaleplon,260,1129.0900000000004
2013-10-01 00:00:00+00:00,Zopiclone,489237,514636.26999999984
2013-11-01 00:00:00+00:00,Zaleplon,236,1087.3200000000006
2013-11-01 00:00:00+00:00,Zopiclone,465083,491282.44999999984
2013-12-01 00:00:00+00:00,Zopiclone,479828,505102.5800000003
2013-12-01 00:00:00+00:00,Zaleplon,262,1225.4100000000003
2014-01-01 00:00:00+00:00,Zaleplon,320,1458.23679
2014-01-01 00:00:00+00:00,Zopiclone,501928,536444.114370004
2014-02-01 00:00:00+00:00,Zaleplon,307,1471.8284799999997
2014-02-01 00:00:00+00:00,Zopiclone,444531,471057.43567999685
2014-03-01 00:00:00+00:00,Zopiclone,469285,491762.99042999203
2014-03-01 00:00:00+00:00,Zaleplon,306,1331.90634
2014-04-01 00:00:00+00:00,Zaleplon,274,1205.68256
2014-04-01 00:00:00+00:00,Zopiclone,462661,443183.3614499959
2014-05-01 00:00:00+00:00,Zaleplon,275,1221.4851199999998
2014-05-01 00:00:00+00:00,Zopiclone,470962,453460.3251500031
2014-06-01 00:00:00+00:00,Zopiclone,448065,428115.00130999996
2014-06-01 00:00:00+00:00,Zaleplon,313,1379.7882
2014-07-01 00:00:00+00:00,Zaleplon,277,1274.3143699999998
2014-07-01 00:00:00+00:00,Zopiclone,477133,455749.0409399988
2014-08-01 00:00:00+00:00,Zopiclone,448633,423826.33752999495
2014-08-01 00:00:00+00:00,Zaleplon,277,1194.99041
2014-09-01 00:00:00+00:00,Zopiclone,476860,448670.192069996
2014-09-01 00:00:00+00:00,Zaleplon,322,1391.2083999999998
2014-10-01 00:00:00+00:00,Zaleplon,354,1507.7631299999994
2014-10-01 00:00:00+00:00,Zopiclone,497416,556306.6377099955
2014-11-01 00:00:00+00:00,Zaleplon,279,1206.8010399999998
2014-11-01 00:00:00+00:00,Zopiclone,448813,501700.9513900054
2014-12-01 00:00:00+00:00,Zaleplon,273,1284.4674099999997
2014-12-01 00:00:00+00:00,Zopiclone,501264,562959.9623899953
2015-01-01 00:00:00+00:00,Zopiclone,483936,596079.8369400093
2015-01-01 00:00:00+00:00,Zaleplon,256,1283.23799
2015-02-01 00:00:00+00:00,Zopiclone,439394,540142.9654699971
2015-02-01 00:00:00+00:00,Zaleplon,244,1206.72718
2015-03-01 00:00:00+00:00,Zopiclone,478828,588978.7083500059
2015-03-01 00:00:00+00:00,Zaleplon,237,1168.8773199999996
2015-04-01 00:00:00+00:00,Zopiclone,459417,581379.8143700118
2015-04-01 00:00:00+00:00,Zaleplon,163,737.2362800000001
2015-05-01 00:00:00+00:00,Zopiclone,443914,559997.1943199954
2015-05-01 00:00:00+00:00,Zaleplon,107,542.9700300000001
2015-06-01 00:00:00+00:00,Zopiclone,461550,579187.0924299979
2015-06-01 00:00:00+00:00,Zaleplon,70,301.45813
2015-07-01 00:00:00+00:00,Zopiclone,476059,595389.1723199986
2015-07-01 00:00:00+00:00,Zaleplon,57,239.23769
2015-08-01 00:00:00+00:00,Zopiclone,439814,547006.8150999922
2015-08-01 00:00:00+00:00,Zaleplon,31,144.3201
2015-09-01 00:00:00+00:00,Zaleplon,37,190.56387
2015-09-01 00:00:00+00:00,Zopiclone,472833,586437.4205300028
2015-10-01 00:00:00+00:00,Zaleplon,28,107.54465
2015-10-01 00:00:00+00:00,Zopiclone,476925,551397.1241600004
2015-11-01 00:00:00+00:00,Zopiclone,461261,531803.9591899877
2015-11-01 00:00:00+00:00,Zaleplon,19,111.85428999999999
2015-12-01 00:00:00+00:00,Zaleplon,23,119.42437000000001
2015-12-01 00:00:00+00:00,Zopiclone,504539,584929.937480006
2016-01-01 00:00:00+00:00,Zaleplon,18,79.88226
2016-01-01 00:00:00+00:00,Zopiclone,469148,478428.8647699957
2016-02-01 00:00:00+00:00,Zopiclone,457625,465681.10999999836
2016-02-01 00:00:00+00:00,Zaleplon,13,54.49192
2016-03-01 00:00:00+00:00,Zopiclone,471430,482299.9606499934
2016-03-01 00:00:00+00:00,Zaleplon,10,62.68605
2016-04-01 00:00:00+00:00,Zopiclone,471031,466404.1744700052
2016-04-01 00:00:00+00:00,Zaleplon,5,12.700289999999999
2016-05-01 00:00:00+00:00,Zopiclone,445612,440195.5683199951
2016-05-01 00:00:00+00:00,Zaleplon,7,31.355760000000004
2016-06-01 00:00:00+00:00,Zaleplon,4,17.3952
2016-06-01 00:00:00+00:00,Zopiclone,464497,417144.514339998
2016-07-01 00:00:00+00:00,Zaleplon,4,8.56986
2016-07-01 00:00:00+00:00,Zopiclone,448192,393827.9606900032
2016-08-01 00:00:00+00:00,Zopiclone,458719,400151.7434299983
2016-08-01 00:00:00+00:00,Zaleplon,3,11.893439999999998
2016-09-01 00:00:00+00:00,Zaleplon,1,3.49445
2016-09-01 00:00:00+00:00,Zopiclone,469656,407891.29978999717
2016-10-01 00:00:00+00:00,Zopiclone,454318,401901.9733800038
2016-11-01 00:00:00+00:00,Zopiclone,468763,414206.2063999988
2016-12-01 00:00:00+00:00,Zaleplon,1,5.78886
2016-12-01 00:00:00+00:00,Zopiclone,475713,423276.746000002
2017-01-01 00:00:00+00:00,Zopiclone,467490,383439.11805999954
2017-02-01 00:00:00+00:00,Zopiclone,430786,353010.8283399992
2017-03-01 00:00:00+00:00,Zopiclone,486799,399865.2042199998
2017-03-01 00:00:00+00:00,Zaleplon,1,11.56529
2017-04-01 00:00:00+00:00,Zopiclone,423997,334460.19887000474
2017-05-01 00:00:00+00:00,Zopiclone,455959,359143.40478999756
2017-06-01 00:00:00+00:00,Zopiclone,451391,355500.7137899955
2017-07-01 00:00:00+00:00,Zopiclone,437471,335096.7515999975
2017-08-01 00:00:00+00:00,Zopiclone,452885,318142.19938000105
2017-09-01 00:00:00+00:00,Zopiclone,444454,311981.72367000085
2017-10-01 00:00:00+00:00,Zopiclone,457892,324820.7554899956
2017-11-01 00:00:00+00:00,Zopiclone,455390,324891.2193199982
2017-12-01 00:00:00+00:00,Zaleplon,1,5.79448
2017-12-01 00:00:00+00:00,Zopiclone,446306,321308.7029099998
2018-01-01 00:00:00+00:00,Zopiclone,471553,298249.7897599979
2018-01-01 00:00:00+00:00,Zaleplon,1,5.79591
2018-02-01 00:00:00+00:00,Zopiclone,413167,262081.5150799986
2018-03-01 00:00:00+00:00,Zopiclone,449424,286005.91550000047
2018-04-01 00:00:00+00:00,Zopiclone,427400,234062.46252000038
2018-05-01 00:00:00+00:00,Zopiclone,437254,239035.02111999702
2018-06-01 00:00:00+00:00,Zopiclone,422628,231855.39857000185
2018-07-01 00:00:00+00:00,Zopiclone,424424,250260.32607999656
2018-08-01 00:00:00+00:00,Zopiclone,444045,293581.7511400007
2018-09-01 00:00:00+00:00,Zopiclone,417681,277573.4190000024
2018-10-01 00:00:00+00:00,Zopiclone,457332,309590.8349999996
2018-11-01 00:00:00+00:00,Zopiclone,441578,282546.259650004
2018-12-01 00:00:00+00:00,Zopiclone,433750,279693.421670004
2019-01-01 00:00:00+00:00,Zopiclone,461544,290518.7731899993
2019-02-01 00:00:00+00:00,Zopiclone,405096,255410.07191999827
2019-03-01 00:00:00+00:00,Zopiclone,429407,270813.3817399991
2019-04-01 00:00:00+00:00,Zopiclone,417761,278679.8333800041
2019-05-01 00:00:00+00:00,Zopiclone,438399,292353.0658200002
2019-06-01 00:00:00+00:00,Zopiclone,403864,268177.8505400013
2019-07-01 00:00:00+00:00,Zopiclone,415514,292490.5284000083
2019-08-01 00:00:00+00:00,Zopiclone,436085,343861.1152599957
2019-09-01 00:00:00+00:00,Zopiclone,410572,321824.7991599965
2019-10-01 00:00:00+00:00,Zopiclone,442340,361741.3544200028
2019-11-01 00:00:00+00:00,Zopiclone,419107,342974.25622999936
2019-12-01 00:00:00+00:00,Zopiclone,426685,350471.8607999986
2020-01-01 00:00:00+00:00,Zopiclone,450821,363728.0622499981
2020-02-01 00:00:00+00:00,Zopiclone,399663,321808.64645999816
2020-03-01 00:00:00+00:00,Zopiclone,424849,350650.5615599957
2020-04-01 00:00:00+00:00,Zopiclone,421245,343328.2495799959
2020-05-01 00:00:00+00:00,Zopiclone,401430,326960.642640004
